,Date,Open,High,Low,Close,Volume,Name,YearMonth
0,2006-01-03,82.45,82.55,80.81,82.06,11715200.0,IBM,2006-01
1,2006-01-04,82.2,82.5,81.33,81.95,9840600.0,IBM,2006-01
2,2006-01-05,81.4,82.9,81.0,82.5,7213500.0,IBM,2006-01
3,2006-01-06,83.95,85.03,83.41,84.95,8197400.0,IBM,2006-01
4,2006-01-07,83.95,85.03,83.41,84.95,0.0,IBM,2006-01
5,2006-01-08,83.95,85.03,83.41,84.95,0.0,IBM,2006-01
6,2006-01-09,84.1,84.25,83.38,83.73,6858200.0,IBM,2006-01
7,2006-01-10,83.15,84.12,83.12,84.07,5701000.0,IBM,2006-01
8,2006-01-11,84.37,84.81,83.4,84.17,5776500.0,IBM,2006-01
9,2006-01-12,83.82,83.96,83.4,83.57,4926500.0,IBM,2006-01
10,2006-01-13,83.0,83.45,82.5,83.17,6921700.0,IBM,2006-01
11,2006-01-14,83.0,83.45,82.5,83.17,0.0,IBM,2006-01
12,2006-01-15,83.0,83.45,82.5,83.17,0.0,IBM,2006-01
13,2006-01-16,83.0,83.45,82.5,83.17,0.0,IBM,2006-01
14,2006-01-17,82.8,83.16,82.54,83.0,8761700.0,IBM,2006-01
15,2006-01-18,84.0,84.7,83.52,84.46,11032800.0,IBM,2006-01
16,2006-01-19,84.14,84.39,83.02,83.09,6484000.0,IBM,2006-01
17,2006-01-20,83.04,83.05,81.25,81.36,8614500.0,IBM,2006-01
18,2006-01-21,83.04,83.05,81.25,81.36,0.0,IBM,2006-01
19,2006-01-22,83.04,83.05,81.25,81.36,0.0,IBM,2006-01
20,2006-01-23,81.33,81.92,80.92,81.41,6114100.0,IBM,2006-01
21,2006-01-24,81.39,82.15,80.8,80.85,6069000.0,IBM,2006-01
22,2006-01-25,81.05,81.62,80.61,80.91,6374300.0,IBM,2006-01
23,2006-01-26,81.5,81.65,80.59,80.72,7810200.0,IBM,2006-01
24,2006-01-27,80.75,81.77,80.75,81.02,6103400.0,IBM,2006-01
25,2006-01-28,80.75,81.77,80.75,81.02,0.0,IBM,2006-01
26,2006-01-29,80.75,81.77,80.75,81.02,0.0,IBM,2006-01
27,2006-01-30,80.21,81.81,80.21,81.63,5325100.0,IBM,2006-01
28,2006-01-31,81.5,82.0,81.17,81.3,6771600.0,IBM,2006-01
29,2006-02-01,80.9,82.24,80.65,81.94,5417100.0,IBM,2006-02
30,2006-02-02,81.45,81.59,80.9,81.23,6198000.0,IBM,2006-02
31,2006-02-03,80.55,80.77,79.72,79.97,9852700.0,IBM,2006-02
32,2006-02-04,80.55,80.77,79.72,79.97,0.0,IBM,2006-02
33,2006-02-05,80.55,80.77,79.72,79.97,0.0,IBM,2006-02
34,2006-02-06,79.94,79.95,78.93,79.51,9568600.0,IBM,2006-02
35,2006-02-07,79.5,80.19,79.3,79.85,5253600.0,IBM,2006-02
36,2006-02-08,80.58,80.9,80.24,80.8,5030500.0,IBM,2006-02
37,2006-02-09,80.4,80.8,79.5,80.4,7609200.0,IBM,2006-02
38,2006-02-10,80.4,81.46,80.2,81.33,5371900.0,IBM,2006-02
39,2006-02-11,80.4,81.46,80.2,81.33,0.0,IBM,2006-02
40,2006-02-12,80.4,81.46,80.2,81.33,0.0,IBM,2006-02
41,2006-02-13,81.33,81.91,80.18,80.44,5257400.0,IBM,2006-02
42,2006-02-14,80.55,81.45,80.35,81.09,6075500.0,IBM,2006-02
43,2006-02-15,80.86,81.5,80.5,80.85,5052000.0,IBM,2006-02
44,2006-02-16,80.68,80.91,80.13,80.91,5310500.0,IBM,2006-02
45,2006-02-17,80.91,81.03,80.13,80.71,5298900.0,IBM,2006-02
46,2006-02-18,80.91,81.03,80.13,80.71,0.0,IBM,2006-02
47,2006-02-19,80.91,81.03,80.13,80.71,0.0,IBM,2006-02
48,2006-02-20,80.91,81.03,80.13,80.71,0.0,IBM,2006-02
49,2006-02-21,80.1,80.75,79.97,80.5,5839100.0,IBM,2006-02
50,2006-02-22,80.0,81.65,79.97,81.35,5294300.0,IBM,2006-02
51,2006-02-23,81.2,81.34,80.04,80.2,4979900.0,IBM,2006-02
52,2006-02-24,80.65,80.65,79.85,80.1,3904100.0,IBM,2006-02
53,2006-02-25,80.65,80.65,79.85,80.1,0.0,IBM,2006-02
54,2006-02-26,80.65,80.65,79.85,80.1,0.0,IBM,2006-02
55,2006-02-27,79.97,80.89,79.95,80.63,3787200.0,IBM,2006-02
56,2006-02-28,80.1,80.55,79.71,80.24,5960700.0,IBM,2006-02
57,2006-03-01,80.2,80.81,79.78,79.9,5211600.0,IBM,2006-03
58,2006-03-02,79.55,80.21,79.54,79.94,4418800.0,IBM,2006-03
59,2006-03-03,79.51,80.83,79.51,79.96,4354400.0,IBM,2006-03
60,2006-03-04,79.51,80.83,79.51,79.96,0.0,IBM,2006-03
61,2006-03-05,79.51,80.83,79.51,79.96,0.0,IBM,2006-03
62,2006-03-06,79.91,80.64,79.9,80.0,4709500.0,IBM,2006-03
63,2006-03-07,80.01,80.79,79.86,80.29,4330800.0,IBM,2006-03
64,2006-03-08,80.25,81.6,80.25,81.14,5570000.0,IBM,2006-03
65,2006-03-09,81.26,81.98,80.8,81.02,4310700.0,IBM,2006-03
66,2006-03-10,81.03,82.25,81.03,81.57,4787200.0,IBM,2006-03
67,2006-03-11,81.03,82.25,81.03,81.57,0.0,IBM,2006-03
68,2006-03-12,81.03,82.25,81.03,81.57,0.0,IBM,2006-03
69,2006-03-13,81.56,82.4,81.45,81.93,4571400.0,IBM,2006-03
70,2006-03-14,81.51,82.99,81.47,82.88,4532700.0,IBM,2006-03
71,2006-03-15,82.65,83.76,82.64,83.38,5370400.0,IBM,2006-03
72,2006-03-16,83.43,83.72,82.61,82.87,4299500.0,IBM,2006-03
73,2006-03-17,83.35,83.41,82.82,83.3,6414500.0,IBM,2006-03
74,2006-03-18,83.35,83.41,82.82,83.3,0.0,IBM,2006-03
75,2006-03-19,83.35,83.41,82.82,83.3,0.0,IBM,2006-03
76,2006-03-20,83.11,83.75,82.99,83.58,3870300.0,IBM,2006-03
77,2006-03-21,83.82,84.99,83.58,83.81,7404300.0,IBM,2006-03
78,2006-03-22,83.35,84.68,83.35,84.45,4968600.0,IBM,2006-03
79,2006-03-23,84.23,84.27,82.93,83.2,5105800.0,IBM,2006-03
80,2006-03-24,82.99,83.72,82.99,83.36,4198800.0,IBM,2006-03
81,2006-03-25,82.99,83.72,82.99,83.36,0.0,IBM,2006-03
82,2006-03-26,82.99,83.72,82.99,83.36,0.0,IBM,2006-03
83,2006-03-27,82.98,83.26,82.58,83.08,3910100.0,IBM,2006-03
84,2006-03-28,82.86,83.39,82.29,82.43,4508800.0,IBM,2006-03
85,2006-03-29,82.2,83.55,82.2,83.13,4633800.0,IBM,2006-03
86,2006-03-30,82.88,83.7,82.83,83.2,4467000.0,IBM,2006-03
87,2006-03-31,82.95,83.6,82.29,82.47,5862000.0,IBM,2006-03
88,2006-04-01,82.95,83.6,82.29,82.47,0.0,IBM,2006-04
89,2006-04-02,82.95,83.6,82.29,82.47,0.0,IBM,2006-04
90,2006-04-03,82.72,83.59,82.65,83.06,4121600.0,IBM,2006-04
91,2006-04-04,83.05,83.78,82.8,83.45,3856200.0,IBM,2006-04
92,2006-04-05,83.33,84.45,83.32,84.17,5523900.0,IBM,2006-04
93,2006-04-06,83.7,84.32,83.36,83.81,4944100.0,IBM,2006-04
94,2006-04-07,83.6,83.8,82.44,82.48,5338300.0,IBM,2006-04
95,2006-04-08,83.6,83.8,82.44,82.48,0.0,IBM,2006-04
96,2006-04-09,83.6,83.8,82.44,82.48,0.0,IBM,2006-04
97,2006-04-10,82.27,82.74,82.0,82.1,3631300.0,IBM,2006-04
98,2006-04-11,81.83,82.06,80.75,81.16,5959700.0,IBM,2006-04
99,2006-04-12,81.1,81.37,80.63,80.75,3905700.0,IBM,2006-04
100,2006-04-13,81.18,82.6,81.12,81.98,4799700.0,IBM,2006-04
101,2006-04-14,81.18,82.6,81.12,81.98,0.0,IBM,2006-04
102,2006-04-15,81.18,82.6,81.12,81.98,0.0,IBM,2006-04
103,2006-04-16,81.18,82.6,81.12,81.98,0.0,IBM,2006-04
104,2006-04-17,81.92,82.92,81.4,81.64,4634200.0,IBM,2006-04
105,2006-04-18,81.89,83.53,81.7,83.31,7919700.0,IBM,2006-04
106,2006-04-19,83.95,84.0,81.26,81.86,10555200.0,IBM,2006-04
107,2006-04-20,81.65,82.85,81.64,82.02,6237200.0,IBM,2006-04
108,2006-04-21,82.49,82.5,81.38,81.66,6117400.0,IBM,2006-04
109,2006-04-22,82.49,82.5,81.38,81.66,0.0,IBM,2006-04
110,2006-04-23,82.49,82.5,81.38,81.66,0.0,IBM,2006-04
111,2006-04-24,81.3,82.41,81.1,82.11,6604100.0,IBM,2006-04
112,2006-04-25,81.95,82.9,81.6,82.67,6857400.0,IBM,2006-04
113,2006-04-26,82.84,83.48,82.71,83.35,6649000.0,IBM,2006-04
